px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.99662	-4.75343	-2.67871	-2.44876	0.153009	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.0894102
10.0802	-4.62529	-2.66801	-2.3888	0.231241	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.39183
10.1796	-4.50888	-2.67214	-2.36568	0.240944	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.259127
10.2653	-4.38265	-2.66906	-2.32037	0.288086	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.239
10.3632	-4.25168	-2.68301	-2.29261	0.298687	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.435855
10.4837	-4.15907	-2.69118	-2.31212	0.243332	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.71389
10.5755	-4.02788	-2.7005	-2.2857	0.254999	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.443359
10.6734	-3.91315	-2.7032	-2.27171	0.254322	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.0462948
10.7666	-3.78916	-2.70913	-2.25252	0.258863	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.0867939
10.8185	-3.63989	-2.7001	-2.17413	0.358346	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	5.26167
10.8933	-3.50542	-2.70336	-2.14598	0.366011	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.195513
10.9951	-3.4108	-2.70922	-2.17469	0.290266	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	3.32833
